"Season","Name","LastName","FirstName","Number","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftOverall","GP","Started","W","L","Ties","OTL"
20022003,"David Aebischer","Aebischer","David",1,"COL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,22,19,7,12,0,0
20032004,"David Aebischer","Aebischer","David",1,"COL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,62,61,32,19,9,0
20052006,"David Aebischer","Aebischer","David",1,"COL, MTL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,50,49,29,17,0,2
20062007,"David Aebischer","Aebischer","David",1,"MTL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,32,27,13,12,0,3
20072008,"David Aebischer","Aebischer","David",1,"PHX","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,1,1,0,1,0,0
20022003,"Ari Ahonen","Ahonen","Ari",31,"NJD","G","L","1981-02-06","Jyv√skyl√","FIN",NA,"FIN",73,190,1999,1,27,0,0,0,0,0,0
20122013,"Sami Aittokallio","Aittokallio","Sami",74,"COL","G","L","1992-08-06","Tampere","FIN",NA,"FIN",73,185,2010,4,107,1,1,0,0,0,0
20132014,"Sami Aittokallio","Aittokallio","Sami",74,"COL","G","L","1992-08-06","Tampere","FIN",NA,"FIN",73,185,2010,4,107,1,1,0,1,0,0
20122013,"Jake Allen","Allen","Jake",34,"STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,195,2008,2,34,15,13,9,4,0,0
20142015,"Jake Allen","Allen","Jake",34,"STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,195,2008,2,34,37,32,22,7,0,4
20152016,"Jake Allen","Allen","Jake",34,"STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,195,2008,2,34,47,44,26,15,0,3
20132014,"Frederik Andersen","Andersen","Frederik",NA,"ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,28,24,20,5,0,0
20142015,"Frederik Andersen","Andersen","Frederik",NA,"ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,54,53,35,12,0,5
20152016,"Frederik Andersen","Andersen","Frederik",NA,"ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,43,37,22,9,0,7
20022003,"Craig Anderson","Anderson","Craig",41,"CHI","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,6,5,0,3,2,0
20032004,"Craig Anderson","Anderson","Craig",41,"CHI","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,21,19,6,14,0,0
20052006,"Craig Anderson","Anderson","Craig",41,"CHI, CHI","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,29,21,6,12,0,4
20062007,"Craig Anderson","Anderson","Craig",41,"FLA","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,5,3,1,1,0,1
20072008,"Craig Anderson","Anderson","Craig",41,"FLA","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,17,13,8,6,0,1
20082009,"Craig Anderson","Anderson","Craig",41,"FLA","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,31,27,15,7,0,5
20092010,"Craig Anderson","Anderson","Craig",41,"COL","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,71,71,38,25,0,7
20102011,"Craig Anderson","Anderson","Craig",41,"COL, OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,51,49,24,20,0,4
20112012,"Craig Anderson","Anderson","Craig",41,"OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,63,60,33,22,0,6
20122013,"Craig Anderson","Anderson","Craig",41,"OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,24,24,12,9,0,2
20132014,"Craig Anderson","Anderson","Craig",41,"OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,53,52,25,16,0,8
20142015,"Craig Anderson","Anderson","Craig",41,"OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,35,35,14,13,0,8
20152016,"Craig Anderson","Anderson","Craig",41,"OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,184,2001,3,73,60,60,31,23,0,5
20022003,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien",30,"PIT","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,21,20,6,13,0,0
20032004,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien",30,"PIT","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,22,17,7,9,0,0
20052006,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien",30,"TOR","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,11,11,9,0,0,2
20062007,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien",30,"TOR","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,20,10,3,5,0,2
20072008,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien",30,"LAK","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,19,12,5,6,0,1
20022003,"Alex Auld","Auld","Alex",35,"VAN","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,7,5,3,3,0,0
20032004,"Alex Auld","Auld","Alex",35,"VAN","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,6,5,2,2,2,0
20052006,"Alex Auld","Auld","Alex",35,"VAN","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,67,64,33,26,0,6
20062007,"Alex Auld","Auld","Alex",35,"FLA","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,27,25,7,13,0,5
20072008,"Alex Auld","Auld","Alex",35,"PHX, BOS","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,32,29,12,13,0,5
20082009,"Alex Auld","Auld","Alex",35,"OTT","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,43,38,16,18,0,7
20092010,"Alex Auld","Auld","Alex",35,"DAL, NYR","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,24,20,9,7,0,3
20102011,"Alex Auld","Auld","Alex",35,"MTL","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,16,12,6,2,0,2
20112012,"Alex Auld","Auld","Alex",35,"OTT","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,14,8,2,4,0,2
20022003,"Jason Bacashihua","Bacashihua","Jason",33,"DAL","G","L","1982-09-20","GardenCity","USA","MI","USA",71,177,2001,1,26,0,0,0,0,0,0
20052006,"Jason Bacashihua","Bacashihua","Jason",33,"STL","G","L","1982-09-20","GardenCity","USA","MI","USA",71,177,2001,1,26,19,17,4,10,0,1
20062007,"Jason Bacashihua","Bacashihua","Jason",33,"STL","G","L","1982-09-20","GardenCity","USA","MI","USA",71,177,2001,1,26,19,12,3,7,0,3
20102011,"Richard Bachman","Bachman","Richard",32,"DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,1,0,0,0,0,0
