"Season","Name","LastName","FirstName","Number","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftOverall","GP","G","A","P","PlusMinus","PIM"
20132014,"Spencer Abbott","Abbott","Spencer",24,"TOR","L","R","1988-04-30","Hamilton","CAN","ON","CAN",69,170,NA,NA,NA,1,0,0,0,-2,0
20072008,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,2,0,0,0,0,2
20082009,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,2,0,0,0,0,0
20092010,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,50,3,3,6,-11,35
20102011,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,74,7,12,19,15,61
20112012,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,81,8,14,22,4,62
20122013,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,48,10,3,13,6,34
20132014,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,70,10,18,28,2,31
20142015,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,71,23,21,44,3,72
20152016,"Justin Abdelkader","Abdelkader","Justin",8,"DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,82,19,23,42,-16,120
20022003,"Ramzi Abid","Abid","Ramzi",14,"PHX, PIT","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,33,10,8,18,-4,32
20032004,"Ramzi Abid","Abid","Ramzi",14,"PIT","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,16,3,2,5,-5,27
20052006,"Ramzi Abid","Abid","Ramzi",14,"ATL","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,6,0,2,2,1,6
20062007,"Ramzi Abid","Abid","Ramzi",14,"NSH","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,13,1,4,5,-3,13
20152016,"Noel Acciari","Acciari","Noel",55,"BOS","C","R","1991-12-01","Johnston","USA","RI","USA",70,208,NA,NA,NA,19,0,1,1,-4,8
20132014,"Will Acton","Acton","Will",41,"EDM","C","L","1987-07-16","Edina","USA","MN","USA",75,202,NA,NA,NA,30,3,2,5,-2,21
20142015,"Will Acton","Acton","Will",41,"EDM","C","L","1987-07-16","Edina","USA","MN","USA",75,202,NA,NA,NA,3,0,0,0,-2,5
20102011,"Luke Adam","Adam","Luke",NA,"BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,19,3,1,4,-6,12
20112012,"Luke Adam","Adam","Luke",NA,"BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,52,10,10,20,-6,14
20122013,"Luke Adam","Adam","Luke",NA,"BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,4,1,0,1,1,2
20132014,"Luke Adam","Adam","Luke",NA,"BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,12,1,0,1,0,4
20142015,"Luke Adam","Adam","Luke",NA,"CBJ","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,3,0,0,0,0,4
20022003,"Craig Adams","Adams","Craig",27,"CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,81,6,12,18,-11,71
20032004,"Craig Adams","Adams","Craig",27,"CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,80,7,10,17,-5,69
20052006,"Craig Adams","Adams","Craig",27,"CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,67,10,11,21,1,51
20062007,"Craig Adams","Adams","Craig",27,"CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,7,7,14,-9,54
20072008,"Craig Adams","Adams","Craig",27,"CAR, CHI","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,75,4,7,11,-16,58
20082009,"Craig Adams","Adams","Craig",27,"CHI, PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,45,2,5,7,-3,22
20092010,"Craig Adams","Adams","Craig",27,"PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,0,10,10,-5,72
20102011,"Craig Adams","Adams","Craig",27,"PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,80,4,11,15,-5,76
20112012,"Craig Adams","Adams","Craig",27,"PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,5,13,18,-6,34
20122013,"Craig Adams","Adams","Craig",27,"PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,48,3,6,9,-1,28
20132014,"Craig Adams","Adams","Craig",27,"PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,5,6,11,-16,46
20142015,"Craig Adams","Adams","Craig",27,"PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,70,1,6,7,-1,44
20022003,"Kevyn Adams","Adams","Kevyn",17,"CAR","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,77,9,9,18,-8,57
20032004,"Kevyn Adams","Adams","Kevyn",17,"CAR","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,73,10,12,22,6,43
20052006,"Kevyn Adams","Adams","Kevyn",17,"CAR","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,82,15,8,23,0,36
20062007,"Kevyn Adams","Adams","Kevyn",17,"CAR, PHX","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,68,3,9,12,-20,25
20072008,"Kevyn Adams","Adams","Kevyn",17,"CHI","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,27,0,2,2,-7,13
20032004,"Dimitri Afanasenkov","Afanasenkov","Dimitri",27,"TBL","L","R","1980-05-12","Arkhangelsk","RUS",NA,"RUS",74,209,1998,3,72,71,6,10,16,-4,12
20052006,"Dimitri Afanasenkov","Afanasenkov","Dimitri",27,"TBL","L","R","1980-05-12","Arkhangelsk","RUS",NA,"RUS",74,209,1998,3,72,68,9,6,15,-7,16
20062007,"Dimitri Afanasenkov","Afanasenkov","Dimitri",27,"TBL, PHI","L","R","1980-05-12","Arkhangelsk","RUS",NA,"RUS",74,209,1998,3,72,74,11,10,21,-25,20
20022003,"Maxim Afinogenov","Afinogenov","Maxim",61,"BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,35,5,6,11,-12,21
20032004,"Maxim Afinogenov","Afinogenov","Maxim",61,"BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,73,17,14,31,-4,57
20052006,"Maxim Afinogenov","Afinogenov","Maxim",61,"BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,77,22,51,73,6,84
20062007,"Maxim Afinogenov","Afinogenov","Maxim",61,"BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,56,23,38,61,19,66
20072008,"Maxim Afinogenov","Afinogenov","Maxim",61,"BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,56,10,18,28,-16,42
20082009,"Maxim Afinogenov","Afinogenov","Maxim",61,"BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,48,6,14,20,-7,20
20092010,"Maxim Afinogenov","Afinogenov","Maxim",61,"ATL","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,82,24,37,61,-17,46
20132014,"Kenny Agostino","Agostino","Kenny",73,"CGY","L","L","1992-04-30","Morristown","USA","NJ","USA",72,202,2010,5,140,8,1,1,2,-2,0
20152016,"Kenny Agostino","Agostino","Kenny",73,"CGY","L","L","1992-04-30","Morristown","USA","NJ","USA",72,202,2010,5,140,2,0,0,0,-2,0
20142015,"Andrew Agozzino","Agozzino","Andrew",87,"COL","L","L","1991-01-03","Kleinburg","CAN","ON","CAN",70,187,NA,NA,NA,1,0,1,1,1,0
