"Season","SeasonEpNumber","Host","MusicalGuest","AirDate"
1,1,"George Carlin","Billy Preston & Janis Ian",1975-10-11
1,2,"Paul Simon","Randy Newman, Phoebe Snow, Art Garfunkel & Jessy Dixon Singers",1975-10-18
1,3,"Rob Reiner","none",1975-10-25
1,4,"Candice Bergen","Esther Phillips",1975-11-08
1,5,"Robert Klein","ABBA & Loudon Wainwright III",1975-11-15
1,6,"Lily Tomlin","Tomlin with Howard Shore & the All Nurse Band",1975-11-22
1,7,"Richard Pryor","Gil Scott-Heron",1975-12-13
1,8,"Candice Bergen","Martha Reeves & The Stylistics",1975-12-20
1,9,"Elliott Gould","Anne Murray",1976-01-10
1,10,"Buck Henry","Bill Withers & Toni Basil",1976-01-17
1,11,"Peter Cook & Dudley Moore","Neil Sedaka",1976-01-24
1,12,"Dick Cavett","Jimmy Cliff",1976-01-31
1,13,"Peter Boyle","Al Jarreau",1976-02-14
1,14,"Desi Arnaz","Desi Arnaz & Desi Arnaz, Jr.",1976-02-21
1,15,"Jill Clayburgh","Leon Redbone & The Idlers",1976-02-28
1,16,"Anthony Perkins","Betty Carter",1976-03-13
1,17,"Ron Nessen","Patti Smith",1976-04-17
1,18,"Raquel Welch","Phoebe Snow & John Sebastian",1976-04-24
1,19,"Madeline Kahn","Carly Simon",1976-05-08
1,20,"Dyan Cannon","Leon and Mary Russell",1976-05-15
1,21,"Buck Henry","Gordon Lightfoot & Garrett Morris",1976-05-22
1,22,"Elliott Gould","Leon Redbone, Harlan Collins & Joyce Everson",1976-05-29
1,23,"Louise Lasser","Preservation Hall Jazz Band",1976-07-24
1,24,"Kris Kristofferson","Rita Coolidge",1976-07-31
2,1,"Lily Tomlin","James Taylor",1976-09-18
2,2,"Norman Lear","Boz Scaggs",1976-09-25
2,3,"Eric Idle","Joe Cocker & Stuff",1976-10-02
2,4,"Karen Black","John Prine",1976-10-16
2,5,"Steve Martin","Kinky Friedman",1976-10-23
2,6,"Buck Henry","The Band",1976-10-30
2,7,"Dick Cavett","Ry Cooder",1976-11-13
2,8,"Paul Simon","Paul Simon & George Harrison",1976-11-20
2,9,"Jodie Foster","Brian Wilson",1976-11-27
2,10,"Candice Bergen","Frank Zappa with Don Pardo as ""The Slime""",1976-12-11
2,11,"Ralph Nader","George Benson",1977-01-15
2,12,"Ruth Gordon","Chuck Berry",1977-01-22
2,13,"Fran Tarkenton","Leo Sayer
Donny Harper",1977-01-29
2,14,"Steve Martin","The Kinks",1977-02-26
2,15,"Sissy Spacek","Richard Baskin",1977-03-12
2,16,"Broderick Crawford","Levon HelmDr. JohnThe Meters",1977-03-19
2,17,"Jack Burns","Santana",1977-03-26
2,18,"Julian Bond","Tom WaitsBrick",1977-04-09
2,19,"Elliott Gould","McGarrigle SistersRoslyn Kind",1977-04-16
2,20,"Eric Idle","Alan PriceNeil Innes",1977-04-23
2,21,"Shelley Duvall","Joan Armatrading",1977-05-14
2,22,"Buck Henry","Jennifer WarnesKenny Vance",1977-05-21
3,1,"Steve Martin","Jackson Browne",1977-09-24
3,2,"Madeline Kahn","Taj Mahal",1977-10-08
3,3,"Hugh Hefner","Libby Titus",1977-10-15
3,4,"Charles Grodin","Paul Simon",1977-10-29
3,5,"Ray Charles","Ray Charles",1977-11-12
3,6,"Buck Henry","Leon Redbone",1977-11-19
3,7,"Mary Kay Place","Willie Nelson",1977-12-10
3,8,"Miskel Spillman","Elvis Costello",1977-12-17
3,9,"Steve Martin","Randy Newman, The Nitty Gritty Dirt Band",1978-01-21
3,10,"Robert Klein","Bonnie Raitt",1978-01-28
3,11,"Chevy Chase","Billy Joel",1978-02-18
3,12,"O. J. Simpson","Ashford and Simpson",1978-02-25
3,13,"Art Garfunkel","Stephen Bishop",1978-03-11
3,14,"Jill Clayburgh","Eddie Money",1978-03-18
3,15,"Christopher Lee","Meat Loaf",1978-03-25
3,16,"Michael Palin","Eugene Record",1978-04-08
3,17,"Michael Sarrazin","Keith Jarrett",1978-04-15
3,18,"Steve Martin","The Blues Brothers",1978-04-22
