"Season","SeasonEpNumber","Guests","Host","MusicalGuest","AirDate","Rating","Votes"
1,1,"George Carlin/Billy Preston/Janis Ian","George Carlin","Billy Preston & Janis Ian","1975-10-11",7.6,266
1,2,"Paul Simon/Randy Newman/Phoebe Snow","Paul Simon","Randy Newman, Phoebe Snow, Art Garfunkel & Jessy Dixon Singers","1975-10-18",6.5,158
1,3,"Rob Reiner","Rob Reiner","none","1975-10-25",7,129
1,4,"Candice Bergen/Esther Phillips","Candice Bergen","Esther Phillips","1975-11-08",7.2,126
1,5,"Robert Klein/ABBA, Loudon Wainwright III","Robert Klein","ABBA & Loudon Wainwright III","1975-11-15",6.8,109
1,6,"Lily Tomlin","Lily Tomlin","Tomlin with Howard Shore & the All Nurse Band","1975-11-22",7.2,108
1,7,"Richard Pryor/Gil Scott-Heron","Richard Pryor","Gil Scott-Heron","1975-12-13",8.6,170
1,8,"Candice Bergen/Martha Reeves/The Stylistics","Candice Bergen","Martha Reeves & The Stylistics","1975-12-20",7.1,97
1,9,"Elliott Gould/Anne Murray","Elliott Gould","Anne Murray","1976-01-10",7,84
1,10,"Buck Henry/Bill Withers, Toni Basil","Buck Henry","Bill Withers & Toni Basil","1976-01-17",7.8,82
1,11,"Peter Cook & Dudley Moore/Neil Sedaka","Peter Cook & Dudley Moore","Neil Sedaka","1976-01-24",7.5,80
1,12,"Dick Cavett/Jimmy Cliff","Dick Cavett","Jimmy Cliff","1976-01-31",6.3,74
1,13,"Peter Boyle/Al Jarreau","Peter Boyle","Al Jarreau","1976-02-14",7,73
1,14,"Desi Arnaz/Desi Arnaz, Jr.","Desi Arnaz","Desi Arnaz & Desi Arnaz, Jr.","1976-02-21",7.7,84
1,15,"Jill Clayburgh/Leon Redbone/The Singing Idlers","Jill Clayburgh","Leon Redbone & The Idlers","1976-02-28",7.4,69
1,16,"Anthony Perkins/Betty Carter","Anthony Perkins","Betty Carter","1976-03-13",7.3,74
1,17,"Ron Nessen/Patti Smith Group","Ron Nessen","Patti Smith","1976-04-17",7,70
1,18,"Raquel Welch/Phoebe Snow, John Sebastian","Raquel Welch","Phoebe Snow & John Sebastian","1976-04-24",6.8,72
1,19,"Madeline Kahn/Carly Simon","Madeline Kahn","Carly Simon","1976-05-08",8.1,74
1,20,"Dyan Cannon/Leon & Mary Russell","Dyan Cannon","Leon and Mary Russell","1976-05-15",6.7,66
1,21,"Buck Henry/Gordon Lightfoot","Buck Henry","Gordon Lightfoot & Garrett Morris","1976-05-22",7.4,64
1,22,"Elliott Gould/Leon Redbone, Harlan Collins & Joyce Everson","Elliott Gould","Leon Redbone, Harlan Collins & Joyce Everson","1976-05-29",8,61
1,23,"Louise Lasser/Preservation Hall Jazz Band","Louise Lasser","Preservation Hall Jazz Band","1976-07-24",5.5,64
1,24,"Kris Kristofferson/Rita Coolidge","Kris Kristofferson","Rita Coolidge","1976-07-31",6.9,61
2,1,"Lily Tomlin/James Taylor","Lily Tomlin","James Taylor","1976-09-18",7.4,61
2,2,"Norman Lear/Boz Scaggs","Norman Lear","Boz Scaggs","1976-09-25",7.6,55
2,3,"Eric Idle/Joe Cocker/Stuff","Eric Idle","Joe Cocker & Stuff","1976-10-02",7.7,65
2,4,"Karen Black/John Prine","Karen Black","John Prine","1976-10-16",6.8,55
2,5,"Steve Martin/Kinky Friedman","Steve Martin","Kinky Friedman","1976-10-23",7.7,61
2,6,"Buck Henry/The Band","Buck Henry","The Band","1976-10-30",7.6,62
2,7,"Dick Cavett/Ry Cooder","Dick Cavett","Ry Cooder","1976-11-13",7,46
2,8,"Paul Simon/George Harrison","Paul Simon","Paul Simon & George Harrison","1976-11-20",7.7,75
2,9,"Jodie Foster/Brian Wilson","Jodie Foster","Brian Wilson","1976-11-27",6.9,56
2,10,"Candice Bergen/Frank Zappa","Candice Bergen","Frank Zappa with Don Pardo as ""The Slime""","1976-12-11",7.9,59
2,11,"Ralph Nader/George Benson","Ralph Nader","George Benson","1977-01-15",7.3,49
2,12,"Ruth Gordon/Chuck Berry","Ruth Gordon","Chuck Berry","1977-01-22",7.3,49
2,13,"Fran Tarkenton/Leo Sayer, Donnie Harper and the Voices of Tomorrow","Fran Tarkenton","Leo Sayer
Donny Harper","1977-01-29",6.7,46
2,14,"Steve Martin/The Kinks","Steve Martin","The Kinks","1977-02-26",8,63
2,15,"Sissy Spacek/Richard Baskin","Sissy Spacek","Richard Baskin","1977-03-12",7.2,53
2,16,"Broderick Crawford/Levon Helm/Dr. John/The Meters","Broderick Crawford","Levon HelmDr. JohnThe Meters","1977-03-19",7.3,51
2,17,"Jack Burns/Santana","Jack Burns","Santana","1977-03-26",7.2,49
2,18,"Julian Bond/Tom Waits, Brick","Julian Bond","Tom WaitsBrick","1977-04-09",6.7,49
2,19,"Elliott Gould/Kate & Anna McGarrigle/Roslyn Kind","Elliott Gould","McGarrigle SistersRoslyn Kind","1977-04-16",7,43
2,20,"Eric Idle/Neil Innes","Eric Idle","Alan PriceNeil Innes","1977-04-23",7.8,48
2,21,"Shelley Duvall/Joan Armatrading","Shelley Duvall","Joan Armatrading","1977-05-14",7.3,45
2,22,"Buck Henry/Jennifer Warnes/Kenny Vance","Buck Henry","Jennifer WarnesKenny Vance","1977-05-21",7.9,43
3,1,"Steve Martin/Jackson Browne","Steve Martin","Jackson Browne","1977-09-24",7.4,58
3,2,"Madeline Kahn/Taj Mahal","Madeline Kahn","Taj Mahal","1977-10-08",6.8,45
3,3,"Hugh Hefner/Libby Titus","Hugh Hefner","Libby Titus","1977-10-15",6.4,42
3,4,"Charles Grodin/Paul Simon","Charles Grodin","Paul Simon","1977-10-29",7,46
3,5,"Ray Charles","Ray Charles","Ray Charles","1977-11-12",7.9,49
3,6,"Buck Henry/Leon Redbone","Buck Henry","Leon Redbone","1977-11-19",6.8,41
3,7,"Mary Kay Place/Willie Nelson","Mary Kay Place","Willie Nelson","1977-12-10",7.5,36
3,8,"Miskel Spillman/Elvis Costello","Miskel Spillman","Elvis Costello","1977-12-17",7.5,41
3,9,"Steve Martin/Randy Newman, Dirt Band","Steve Martin","Randy Newman, The Nitty Gritty Dirt Band","1978-01-21",7.8,52
3,10,"Robert Klein/Bonnie Raitt","Robert Klein","Bonnie Raitt","1978-01-28",7.7,53
3,11,"Chevy Chase/Billy Joel","Chevy Chase","Billy Joel","1978-02-18",7.5,45
3,12,"O.J. Simpson/Ashford & Simpson","O. J. Simpson","Ashford and Simpson","1978-02-25",7,46
3,13,"Art Garfunkel/Stephen Bishop","Art Garfunkel","Stephen Bishop","1978-03-11",6.4,44
3,14,"Jill Clayburgh/Eddie Money","Jill Clayburgh","Eddie Money","1978-03-18",6.6,38
3,15,"Christopher Lee/Meat Loaf","Christopher Lee","Meat Loaf","1978-03-25",7.7,54
3,16,"Michael Palin/Eugene Record","Michael Palin","Eugene Record","1978-04-08",7.8,40
3,17,"Michael Sarrazin/Keith Jarrett, Gravity","Michael Sarrazin","Keith Jarrett","1978-04-15",7,38
3,18,"Steve Martin/The Blues Brothers","Steve Martin","The Blues Brothers","1978-04-22",8.4,84
