"Season","Guests","Rating","Votes"
1,"George Carlin/Billy Preston/Janis Ian","7.6","266"
1,"Paul Simon/Randy Newman/Phoebe Snow","6.5","158"
1,"Rob Reiner","7.0","129"
1,"Candice Bergen/Esther Phillips","7.2","126"
1,"Robert Klein/ABBA, Loudon Wainwright III","6.8","109"
1,"Lily Tomlin","7.2","108"
1,"Richard Pryor/Gil Scott-Heron","8.6","170"
1,"Candice Bergen/Martha Reeves/The Stylistics","7.1","97"
1,"Elliott Gould/Anne Murray","7.0","84"
1,"Buck Henry/Bill Withers, Toni Basil","7.8","82"
1,"Peter Cook & Dudley Moore/Neil Sedaka","7.5","80"
1,"Dick Cavett/Jimmy Cliff","6.3","74"
1,"Peter Boyle/Al Jarreau","7.0","73"
1,"Desi Arnaz/Desi Arnaz, Jr.","7.7","84"
1,"Jill Clayburgh/Leon Redbone/The Singing Idlers","7.4","69"
1,"Anthony Perkins/Betty Carter","7.3","74"
1,"Ron Nessen/Patti Smith Group","7.0","70"
1,"Raquel Welch/Phoebe Snow, John Sebastian","6.8","72"
1,"Madeline Kahn/Carly Simon","8.1","74"
1,"Dyan Cannon/Leon & Mary Russell","6.7","66"
1,"Buck Henry/Gordon Lightfoot","7.4","64"
1,"Elliott Gould/Leon Redbone, Harlan Collins & Joyce Everson","8.0","61"
1,"Louise Lasser/Preservation Hall Jazz Band","5.5","64"
1,"Kris Kristofferson/Rita Coolidge","6.9","61"
2,"Lily Tomlin/James Taylor","7.4","61"
2,"Norman Lear/Boz Scaggs","7.6","55"
2,"Eric Idle/Joe Cocker/Stuff","7.7","65"
2,"Karen Black/John Prine","6.8","55"
2,"Steve Martin/Kinky Friedman","7.7","61"
2,"Buck Henry/The Band","7.6","62"
2,"Dick Cavett/Ry Cooder","7.0","46"
2,"Paul Simon/George Harrison","7.7","75"
2,"Jodie Foster/Brian Wilson","6.9","56"
2,"Candice Bergen/Frank Zappa","7.9","59"
2,"Ralph Nader/George Benson","7.3","49"
2,"Ruth Gordon/Chuck Berry","7.3","49"
