"","X1","X2","X3","X4","X5"
"1","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"2","1","1","George Carlin","Billy Preston & Janis Ian","October 11, 1975 (1975-10-11)"
"3","2","2","Paul Simon","Randy Newman, Phoebe Snow, Art Garfunkel & Jessy Dixon Singers","October 18, 1975 (1975-10-18)"
"4","3","3","Rob Reiner","none","October 25, 1975 (1975-10-25)"
"5","4","4","Candice Bergen","Esther Phillips","November 8, 1975 (1975-11-08)"
"6","5","5","Robert Klein","ABBA & Loudon Wainwright III","November 15, 1975 (1975-11-15)"
"7","6","6","Lily Tomlin","Tomlin with Howard Shore & the All Nurse Band","November 22, 1975 (1975-11-22)"
"8","7","7","Richard Pryor","Gil Scott-Heron","December 13, 1975 (1975-12-13)"
"9","8","8","Candice Bergen","Martha Reeves & The Stylistics","December 20, 1975 (1975-12-20)"
"10","9","9","Elliott Gould","Anne Murray","January 10, 1976 (1976-01-10)"
"11","10","10","Buck Henry","Bill Withers & Toni Basil","January 17, 1976 (1976-01-17)"
"12","11","11","Peter Cook & Dudley Moore","Neil Sedaka","January 24, 1976 (1976-01-24)"
"13","12","12","Dick Cavett","Jimmy Cliff","January 31, 1976 (1976-01-31)"
"14","13","13","Peter Boyle","Al Jarreau","February 14, 1976 (1976-02-14)"
"15","14","14","Desi Arnaz","Desi Arnaz & Desi Arnaz, Jr.","February 21, 1976 (1976-02-21)"
"16","15","15","Jill Clayburgh","Leon Redbone & The Idlers","February 28, 1976 (1976-02-28)"
"17","16","16","Anthony Perkins","Betty Carter","March 13, 1976 (1976-03-13)"
"18","17","17","Ron Nessen","Patti Smith","April 17, 1976 (1976-04-17)"
"19","18","18","Raquel Welch","Phoebe Snow & John Sebastian","April 24, 1976 (1976-04-24)"
"20","19","19","Madeline Kahn","Carly Simon","May 8, 1976 (1976-05-08)"
"21","20","20","Dyan Cannon","Leon and Mary Russell","May 15, 1976 (1976-05-15)"
"22","21","21","Buck Henry","Gordon Lightfoot & Garrett Morris","May 22, 1976 (1976-05-22)"
"23","22","22","Elliott Gould","Leon Redbone, Harlan Collins & Joyce Everson","May 29, 1976 (1976-05-29)"
"24","23","23","Louise Lasser","Preservation Hall Jazz Band","July 24, 1976 (1976-07-24)"
"25","24","24","Kris Kristofferson","Rita Coolidge","July 31, 1976 (1976-07-31)"
"26","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"27","25","1","Lily Tomlin","James Taylor","September 18, 1976 (1976-09-18)"
"28","26","2","Norman Lear","Boz Scaggs","September 25, 1976 (1976-09-25)"
"29","27","3","Eric Idle","Joe Cocker & Stuff","October 2, 1976 (1976-10-02)"
"30","28","4","Karen Black","John Prine","October 16, 1976 (1976-10-16)"
"31","29","5","Steve Martin","Kinky Friedman","October 23, 1976 (1976-10-23)"
"32","30","6","Buck Henry","The Band","October 30, 1976 (1976-10-30)"
"33","31","7","Dick Cavett","Ry Cooder","November 13, 1976 (1976-11-13)"
"34","32","8","Paul Simon","Paul Simon & George Harrison","November 20, 1976 (1976-11-20)"
"35","33","9","Jodie Foster","Brian Wilson","November 27, 1976 (1976-11-27)"
"36","34","10","Candice Bergen","Frank Zappa with Don Pardo as ""The Slime""","December 11, 1976 (1976-12-11)"
"37","35","11","Ralph Nader","George Benson","January 15, 1977 (1977-01-15)"
"38","36","12","Ruth Gordon","Chuck Berry","January 22, 1977 (1977-01-22)"
"39","37","13","Fran Tarkenton","Leo Sayer
Donny Harper","January 29, 1977 (1977-01-29)"
"40","38","14","Steve Martin","The Kinks","February 26, 1977 (1977-02-26)"
"41","39","15","Sissy Spacek","Richard Baskin","March 12, 1977 (1977-03-12)"
"42","40","16","Broderick Crawford","Levon HelmDr. JohnThe Meters","March 19, 1977 (1977-03-19)"
"43","41","17","Jack Burns","Santana","March 26, 1977 (1977-03-26)"
"44","42","18","Julian Bond","Tom WaitsBrick","April 9, 1977 (1977-04-09)"
"45","43","19","Elliott Gould","McGarrigle SistersRoslyn Kind","April 16, 1977 (1977-04-16)"
"46","44","20","Eric Idle","Alan PriceNeil Innes","April 23, 1977 (1977-04-23)"
"47","45","21","Shelley Duvall","Joan Armatrading","May 14, 1977 (1977-05-14)"
"48","46","22","Buck Henry","Jennifer WarnesKenny Vance","May 21, 1977 (1977-05-21)"
"49","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"50","47","1","Steve Martin","Jackson Browne","September 24, 1977 (1977-09-24)"
"51","48","2","Madeline Kahn","Taj Mahal","October 8, 1977 (1977-10-08)"
"52","49","3","Hugh Hefner","Libby Titus","October 15, 1977 (1977-10-15)"
"53","50","4","Charles Grodin","Paul Simon","October 29, 1977 (1977-10-29)"
"54","51","5","Ray Charles","Ray Charles","November 12, 1977 (1977-11-12)"
"55","52","6","Buck Henry","Leon Redbone","November 19, 1977 (1977-11-19)"
"56","53","7","Mary Kay Place","Willie Nelson","December 10, 1977 (1977-12-10)"
"57","54","8","Miskel Spillman","Elvis Costello","December 17, 1977 (1977-12-17)"
"58","55","9","Steve Martin","Randy Newman, The Nitty Gritty Dirt Band","January 21, 1978 (1978-01-21)"
"59","56","10","Robert Klein","Bonnie Raitt","January 28, 1978 (1978-01-28)"
"60","57","11","Chevy Chase","Billy Joel","February 18, 1978 (1978-02-18)"
"61","58","12","O. J. Simpson","Ashford and Simpson","February 25, 1978 (1978-02-25)"
"62","59","13","Art Garfunkel","Stephen Bishop","March 11, 1978 (1978-03-11)"
"63","60","14","Jill Clayburgh","Eddie Money","March 18, 1978 (1978-03-18)"
"64","61","15","Christopher Lee","Meat Loaf","March 25, 1978 (1978-03-25)"
"65","62","16","Michael Palin","Eugene Record","April 8, 1978 (1978-04-08)"
"66","63","17","Michael Sarrazin","Keith Jarrett","April 15, 1978 (1978-04-15)"
"67","64","18","Steve Martin","The Blues Brothers","April 22, 1978 (1978-04-22)"
"68","65","19","Richard Dreyfuss","Jimmy Buffett, Gary Tigerman","May 13, 1978 (1978-05-13)"
"69","66","20","Buck Henry","Sun Ra","May 20, 1978 (1978-05-20)"
"70","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"71","67","1","The Rolling Stones","The Rolling Stones","October 7, 1978 (1978-10-07)"
"72","68","2","Fred Willard","Devo","October 14, 1978 (1978-10-14)"
"73","69","3","Frank Zappa","Frank Zappa","October 21, 1978 (1978-10-21)"
"74","70","4","Steve Martin","Van Morrison","November 4, 1978 (1978-11-04)"
"75","71","5","Buck Henry","Grateful Dead","November 11, 1978 (1978-11-11)"
"76","72","6","Carrie Fisher","The Blues Brothers","November 18, 1978 (1978-11-18)"
"77","73","7","Walter Matthau","none","December 2, 1978 (1978-12-02)"
"78","74","8","Eric Idle","Kate Bush","December 9, 1978 (1978-12-09)"
"79","75","9","Elliott Gould","Peter Tosh with Mick Jagger","December 16, 1978 (1978-12-16)"
"80","76","10","Michael Palin","The Doobie Brothers","January 27, 1979 (1979-01-27)"
"81","77","11","Cicely Tyson","Talking Heads","February 10, 1979 (1979-02-10)"
"82","78","12","Ricky Nelson","Judy Collins","February 17, 1979 (1979-02-17)"
"83","79","13","Kate Jackson","Delbert McClinton","February 24, 1979 (1979-02-24)"
"84","80","14","Gary Busey","Eubie Blake & Gregory HinesGary Busey with Rick Danko & Paul Butterfield","March 10, 1979 (1979-03-10)"
"85","81","15","Margot Kidder","The Chieftains","March 17, 1979 (1979-03-17)"
"86","82","16","Richard Benjamin","Rickie Lee Jones","April 7, 1979 (1979-04-07)"
"87","83","17","Milton Berle","Ornette Coleman","April 14, 1979 (1979-04-14)"
"88","84","18","Michael Palin","James Taylor","May 12, 1979 (1979-05-12)"
"89","85","19","Maureen Stapleton","Linda RonstadtPhoebe Snow","May 19, 1979 (1979-05-19)"
"90","86","20","Buck Henry","Bette Midler","May 26, 1979 (1979-05-26)"
"91","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"92","87","1","Steve Martin","Blondie","October 13, 1979 (1979-10-13)"
"93","88","2","Eric Idle","Bob Dylan","October 20, 1979 (1979-10-20)"
"94","89","3","Bill Russell","Chicago","November 3, 1979 (1979-11-03)"
"95","90","4","Buck Henry","Tom Petty and the Heartbreakers","November 10, 1979 (1979-11-10)"
"96","91","5","Bea Arthur","The Roches","November 17, 1979 (1979-11-17)"
"97","92","6","Howard Hesseman","Randy Newman","December 8, 1979 (1979-12-08)"
"98","93","7","Martin Sheen","David Bowie","December 15, 1979 (1979-12-15)"
"99","94","8","Ted Knight","Desmond Child & Rouge","December 22, 1979 (1979-12-22)"
"100","95","9","Teri Garr","The B-52's","January 26, 1980 (1980-01-26)"
"101","96","10","Chevy Chase","Marianne FaithfullTom Scott","February 9, 1980 (1980-02-09)"
"102","97","11","Elliott Gould","Gary Numan","February 16, 1980 (1980-02-16)"
"103","98","12","Kirk Douglas","Sam & Dave","February 23, 1980 (1980-02-23)"
"104","99","13","Rodney Dangerfield","The J. Geils Band","March 8, 1980 (1980-03-08)"
"105","100","14","none","Paul SimonJames TaylorDavid Sanborn","March 15, 1980 (1980-03-15)"
"106","101","15","Richard BenjaminPaula Prentiss","The Grateful Dead","April 5, 1980 (1980-04-05)"
"107","102","16","Burt Reynolds","Anne Murray","April 12, 1980 (1980-04-12)"
"108","103","17","Strother Martin","The Specials","April 19, 1980 (1980-04-19)"
"109","104","18","Bob Newhart","The Amazing Rhythm AcesBruce Cockburn","May 10, 1980 (1980-05-10)"
"110","105","19","Steve Martin","3-D, Paul McCartney and Linda McCartney","May 17, 1980 (1980-05-17)"
"111","106","20","Buck Henry","Andrew GoldAndrae Crouch & the Voices of Unity","May 24, 1980 (1980-05-24)"
"112","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"113","107","1","Elliott Gould","Kid Creole & the Coconuts","November 15, 1980 (1980-11-15)"
"114","108","2","Malcolm McDowell","Captain Beefheart & His Magic Band","November 22, 1980 (1980-11-22)"
"115","109","3","Ellen Burstyn","Aretha Franklin
Keith Sykes","December 6, 1980 (1980-12-06)"
"116","110","4","Jamie Lee Curtis","James BrownEllen Shipley","December 13, 1980 (1980-12-13)"
"117","111","5","David Carradine","Linda Ronstadt
The Cast of The Pirates of Penzance","December 20, 1980 (1980-12-20)"
"118","112","6","Ray Sharkey","Jack Bruce & Friends","January 10, 1981 (1981-01-10)"
"119","113","7","Karen Black","Cheap TrickStanley Clarke Trio","January 17, 1981 (1981-01-17)"
"120","114","8","Robert Hays","Joe ""King"" Carrasco & the Crowns
14 Karat Soul","January 24, 1981 (1981-01-24)"
"121","115","9","Sally Kellerman","Jimmy Cliff","February 7, 1981 (1981-02-07)"
"122","116","10","Deborah Harry","Deborah HarryFunky Four Plus One","February 14, 1981 (1981-02-14)"
"123","117","11","Charlene Tilton","Todd RundgrenPrince","February 21, 1981 (1981-02-21)"
"124","118","12","Bill Murray","Delbert McClinton","March 7, 1981 (1981-03-07)"
"125","119","13","none","Jr. Walker & the All-Stars","April 11, 1981 (1981-04-11)"
"126","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"127","120","1","(none)","Rod Stewart","October 3, 1981 (1981-10-03)"
"128","121","2","Susan Saint James","The Kinks","October 10, 1981 (1981-10-10)"
"129","122","3","George Kennedy","Miles Davis","October 17, 1981 (1981-10-17)"
"130","123","4","Donald Pleasence","Fear","October 31, 1981 (1981-10-31)"
"131","124","5","Lauren Hutton","Rick James","November 7, 1981 (1981-11-07)"
"132","125","6","Bernadette Peters","The Go-Go'sBilly Joel","November 14, 1981 (1981-11-14)"
"133","126","7","Tim Curry","Meat Loaf","December 5, 1981 (1981-12-05)"
"134","127","8","Bill Murray","The SpinnersThe Whiffenpoofs","December 12, 1981 (1981-12-12)"
"135","128","9","Robert Conrad","The Allman Brothers Band","January 23, 1982 (1982-01-23)"
"136","129","10","John Madden","Jennifer Holliday","January 30, 1982 (1982-01-30)"
"137","130","11","James Coburn","Lindsey Buckingham","February 6, 1982 (1982-02-06)"
"138","131","12","Bruce Dern","Luther Vandross","February 20, 1982 (1982-02-20)"
"139","132","13","Elizabeth Ashley","Hall & Oates","February 27, 1982 (1982-02-27)"
"140","133","14","Robert Urich","Mink DeVille","March 20, 1982 (1982-03-20)"
"141","134","15","Blythe Danner","Rickie Lee Jones","March 27, 1982 (1982-03-27)"
