"X1","X2","X3","X4","X5"
"#","Episode","UserRating","UserVotes",""
"1.1","George Carlin/Billy Preston/Janis Ian","7.6","266","1
2
3
4
5
6
7
8
9
10

7.6/10
X"
"1.2","Paul Simon/Randy Newman/Phoebe Snow","6.5","158","1
2
3
4
5
6
7
8
9
10

6.5/10
X"
"1.3","Rob Reiner","7.0","129","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.4","Candice Bergen/Esther Phillips","7.2","126","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"1.5","Robert Klein/ABBA, Loudon Wainwright III","6.8","109","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"1.6","Lily Tomlin","7.2","108","1
2
3
4
5
6
7
8
9
10

7.2/10
X"
"1.7","Richard Pryor/Gil Scott-Heron","8.6","170","1
2
3
4
5
6
7
8
9
10

8.6/10
X"
"1.8","Candice Bergen/Martha Reeves/The Stylistics","7.1","97","1
2
3
4
5
6
7
8
9
10

7.1/10
X"
"1.9","Elliott Gould/Anne Murray","7.0","84","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.10","Buck Henry/Bill Withers, Toni Basil","7.8","82","1
2
3
4
5
6
7
8
9
10

7.8/10
X"
"1.11","Peter Cook & Dudley Moore/Neil Sedaka","7.5","80","1
2
3
4
5
6
7
8
9
10

7.5/10
X"
"1.12","Dick Cavett/Jimmy Cliff","6.3","74","1
2
3
4
5
6
7
8
9
10

6.3/10
X"
"1.13","Peter Boyle/Al Jarreau","7.0","73","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.14","Desi Arnaz/Desi Arnaz, Jr.","7.7","84","1
2
3
4
5
6
7
8
9
10

7.7/10
X"
"1.15","Jill Clayburgh/Leon Redbone/The Singing Idlers","7.4","69","1
2
3
4
5
6
7
8
9
10

7.4/10
X"
"1.16","Anthony Perkins/Betty Carter","7.3","74","1
2
3
4
5
6
7
8
9
10

7.3/10
X"
"1.17","Ron Nessen/Patti Smith Group","7.0","70","1
2
3
4
5
6
7
8
9
10

7.0/10
X"
"1.18","Raquel Welch/Phoebe Snow, John Sebastian","6.8","72","1
2
3
4
5
6
7
8
9
10

6.8/10
X"
"1.19","Madeline Kahn/Carly Simon","8.1","74","1
2
3
4
5
6
7
8
9
10

8.1/10
X"
